MUID,Min.WSP,Max.WSP,Max/Min.WSP,AssetName,Beschreibung
B4.1520,16.5025,19.50122,1.1817130737767003,,
B4.1500,16.703,19.61063,1.1740783092857572,,Nordknoten
B4.1501,17.6015,20.76025,1.1794591370053686,,
B4.1502,17.86125,21.78367,1.2196050108475052,,Nordwestknoten
B4.1490,16.395,17.43768,1.0635974382433668,,
B4.1485,16.355,17.37703,1.0624903699174564,,Kreuzknoten
B4.1320,17.105,17.51902,1.0242046185325928,,
B4.1310,17.305,17.66968,1.0210736781277088,,Ostknoten
B4.1300,17.425,17.88718,1.0265239598278335,,
B4.1200,16.8035,20.3767,1.2126461749040378,,
B4.1491,17.50175,20.29294,1.159480623366235,,
B4.1480,16.255,17.12773,1.0536899415564442,,
B4.1510,14.2025,17.19295,1.2105580003520506,,
